tauTau TT
LLR  /eos/home-v/vdamante/HH_bbtautau_resonant_Run2/sync/TTTo2L2Nu_tauTau_LLR.root  HTauTauTree
Ciemat  /eos/user/e/emartinv/cmt/Sync/TTTo2L2Nu_CIEMAT_tautau.root  Events
# LLR events = 48662, # LLR unique events = 48662
# Ciemat events = 53378, # Ciemat unique events = 53378
# common events = 48307
LLR events
run:lumi:evt:sampleId = 1:9694:9693117
run:lumi:evt:sampleId = 1:9696:9695457
run:lumi:evt:sampleId = 1:9798:9797740
run:lumi:evt:sampleId = 1:9826:9825572
run:lumi:evt:sampleId = 1:9859:9858631
run:lumi:evt:sampleId = 1:9873:9872938
run:lumi:evt:sampleId = 1:9897:9896551
run:lumi:evt:sampleId = 1:9908:9907131
run:lumi:evt:sampleId = 1:9909:9908771
run:lumi:evt:sampleId = 1:9925:9924283
run:lumi:evt:sampleId = 1:9930:9929516
run:lumi:evt:sampleId = 1:9934:9933143
run:lumi:evt:sampleId = 1:9934:9933965
run:lumi:evt:sampleId = 1:9940:9939095
run:lumi:evt:sampleId = 1:10014:10013133
run:lumi:evt:sampleId = 1:10052:10051480
run:lumi:evt:sampleId = 1:10200:10199086
run:lumi:evt:sampleId = 1:10207:10206293
run:lumi:evt:sampleId = 1:10207:10206551
run:lumi:evt:sampleId = 1:10228:10227763
run:lumi:evt:sampleId = 1:10334:10333799
run:lumi:evt:sampleId = 1:10465:10464951
run:lumi:evt:sampleId = 1:10507:10506931
run:lumi:evt:sampleId = 1:10509:10508286
run:lumi:evt:sampleId = 1:10516:10515994
run:lumi:evt:sampleId = 1:10517:10516193
run:lumi:evt:sampleId = 1:10530:10529049
run:lumi:evt:sampleId = 1:10537:10536172
run:lumi:evt:sampleId = 1:10537:10536536
run:lumi:evt:sampleId = 1:10538:10537929
run:lumi:evt:sampleId = 1:10579:10578212
run:lumi:evt:sampleId = 1:10595:10594013
